ENGLISH LANGUAGE,MATHEMATICS,AGRICULTURAL SCIENCE,BASIC SCIENCE,BASIC TECHNOLOGY,BUSINESS STUDIES,SOCIAL STUDIES,class
88,89,80,82,84,88,94,3
83.33333333,82.33333333,81,86.66666667,85,90,86,2
79,80,81.33333333,83.66666667,83.33333333,76,85.66666667,1
74.66666667,65.66666667,70.66666667,70.66666667,69.33333333,74.66666667,75.33333333,2
76.33333333,80,73,83.66666667,80,84.33333333,79.66666667,1
78.66666667,64.33333333,69.33333333,79.66666667,72,77,78.66666667,1
72,76.66666667,79,76,77,85,84.33333333,2
77.66666667,78,75,75.33333333,76,80.33333333,82.66666667,2
79.33333333,79.33333333,78,81.33333333,78.66666667,82.33333333,83,3
76.33333333,87,77.66666667,82.66666667,80,87,84,2
80.66666667,69.33333333,72.33333333,77,74.66666667,85.33333333,77.33333333,2
68.74444444,60.55555555,69.73333333,65.48888889,65.43333333,70.61111111,73.66666667,3
81,71.33333333,82,83.33333333,75,83,87,1
66,61,64.33333333,89,62.66666667,67,71.66666667,1
75,71.53333333,77.5,80.5,72.9,80.9,77.33333333,1
63,60,60.66666667,61,63.33333333,64.66666667,77,3
60.33333333,60.33333333,64.33333333,60,62.66666667,64.66666667,70.66666667,1
77,72.33333333,80.33333333,78.33333333,70.66666667,80,80.33333333,3
79.15555556,61.84444444,76.17777778,72.96666667,70.72222222,83.41111111,80.37777778,2
78.58888889,85.41111111,88.62222222,82.18888889,78.17777778,92.91111111,88.45555556,2
70.66666667,67.66666667,70,71,66,75.33333333,77.33333333,3
79,74.66666667,75.66666667,83.66666667,78.33333333,84.33333333,89,3
72.66666667,70.66666667,74,74.33333333,70.66666667,72.66666667,80.66666667,3
75.66666667,69,66.66666667,72,63.33333333,69.33333333,75,3
77,66,70.66666667,79.33333333,73,74.33333333,81,3
77,67,75.33333333,74.33333333,71.33333333,74.66666667,76.33333333,1
80.66666667,70,76.33333333,79.66666667,70.33333333,84.66666667,77.33333333,1
74,65,67,74.66666667,70.33333333,78.66666667,80.33333333,2
84.66666667,94.66666667,90.66666667,92,93,93.33333333,87.66666667,1
77.03333333,79,79.26666667,82.83333333,83,83.36666667,84.4,1
83.16666667,87.91,82.29666667,92.9,85.16666667,90.97666667,90.69,1
75.66666667,72.66666667,81,82.33333333,76,77.66666667,82.33333333,1
78.33333333,60,81.33333333,83.66666667,69.33333333,86,88.66666667,3
86.33333333,81.66666667,83.33333333,88,85.33333333,91.33333333,89,2
83.66666667,94.66666667,90.66666667,97.33333333,95,93,87,1
66.66666667,71,69.66666667,71.33333333,76.33333333,74,79.66666667,3
74,74.33333333,75.66666667,81,77.66666667,83.33333333,77.66666667,1
75.66666667,81.66666667,82,87.33333333,84,86,85,1
79.66666667,87.33333333,77.66666667,84.66666667,81.66666667,85.66666667,83,1
78,69.33333333,75.66666667,81.33333333,75.33333333,87,81.33333333,2
76,80,76,78,72,79.33333333,79.66666667,3
85,91.33333333,85,91,85.66666667,91.33333333,89,1
70.33333333,68,72.66666667,67,70,75.66666667,76.66666667,3
74.66666667,79.66666667,79,90.33333333,84.33333333,85,90.66666667,1
74,63,66.33333333,76.66666667,74.66666667,71.66666667,77,1
79.66666667,80.33333333,81.33333333,88.33333333,82.66666667,83.66666667,86.66666667,1
84.66666667,90,88.66666667,93,91.66666667,93.33333333,87.66666667,1
74.66666667,78,65.66666667,74.33333333,64.66666667,75,76,1
79,84.66666667,78,86.66666667,84.66666667,82,73.66666667,1
75,66.33333333,63.33333333,68.66666667,63.33333333,69.66666667,76.33333333,3
77.33333333,76,89,84,75.66666667,81,85,1
84,85.66666667,86.66666667,89.66666667,85.66666667,90.33333333,82.66666667,2
82,75.33333333,80,83,78.66666667,83,88.33333333,3
75.66666667,87.33333333,83.33333333,88.66666667,86.66666667,84.66666667,88,1
67,60,60,61.33333333,60,60.33333333,64,3
82.66666667,89.66666667,89.66666667,87.66666667,85,90,91,3
76.35555556,79.44444444,88.16666667,85.99444444,84.7,88.31111111,86.88888889,1
67,61.66666667,66.33333333,68,71.33333333,66.66666667,72.66666667,3
72,64,66.71333333,71.55,61.74666667,73.16,75.21,2
75.4,63.75666667,75.24333333,85.36666667,70.27666667,76.79,83.16666667,1
75,99,83,88,90,92,97,3
77.33333333,75.33333333,73.33333333,77,71.66666667,69.33333333,79.66666667,1
79,83,78.33333333,83.66666667,80.66666667,82.33333333,80,1
69.88888889,63.95555555,76.44444444,73.5,70.02222222,77.54444444,77.18888889,2
79.33333333,61,72.33333333,74.33333333,69,78.66666667,78.66666667,2
71,77.66666667,60,69.33333333,68.33333333,68,69.66666667,1
82,70.66666667,82,80.33333333,78.66666667,89.66666667,91.66666667,2
83.33333333,85,83,80,89,84.66666667,85.33333333,3
74.33333333,88.33333333,76.66666667,78,84.66666667,77.66666667,79.66666667,3
95,93.33333333,94,95,93,92.66666667,93.66666667,1
72.33333333,74.33333333,83.66666667,69,74.66666667,86.66666667,79.33333333,2
72.33333333,74.33333333,83.66666667,69,74.66666667,86.66666667,79.33333333,2
74,76.66666667,83.66666667,79.33333333,82.33333333,78.66666667,87.33333333,3
